   maxIter|  threadNo|    taskNo|   avgTime|     stDev
       200|         1|         1|  97314090|  76994826
       200|         1|        10|  46010910|   2587256
       200|         1|    250000| 134076620|  22630287
       200|         4|         4|  30974210|   2063373
       200|         4|        40|  28663250|   1410472
       200|         4|    250000|  83113640|   6336295
       200|         8|         8|  31858700|   2963863
       200|         8|        80|  42428770|   3589581
       200|         8|    250000|  79819000|   4307775
      1000|         1|         1| 155806960|   3177519
      1000|         1|        10| 169493110|  26263710
      1000|         1|    250000| 233098540|  12647333
      1000|         4|         4|  55663020|    347477
      1000|         4|        40|  55188850|    375222
      1000|         4|    250000| 104570630|   1434551
      1000|         8|         8|  56043630|   1991828
      1000|         8|        80| 171252990|  18948949
      1000|         8|    250000| 110357160|   9227968
      5000|         1|         1| 770813660|  33310679
      5000|         1|        10| 764951300|  23277966
      5000|         1|    250000| 885939390|  47994200
      5000|         4|         4| 221467400|  13171179
      5000|         4|        40| 243971400|  22760810
      5000|         4|    250000| 299831090|  29331061
      5000|         8|         8| 230643880|  13133406
      5000|         8|        80| 764010170|  16721917
      5000|         8|    250000| 258910230|   7068671
     10000|         1|         1|1472978530|   6072348
     10000|         1|        10|1470667040|   3221520
     10000|         1|    250000|1576860120|  16390475
     10000|         4|         4| 425163200|   9034014
     10000|         4|        40| 419633230|  13522147
     10000|         4|    250000| 452398490|   3672726
     10000|         8|         8| 413233740|   3377063
     10000|         8|        80|1470756200|   1706244
     10000|         8|    250000| 447775940|   2628744
